PassengerID,TravelHistory
PA00001,Flew to Dubai on 2025-11-21 (Flight FL00237)
PA00002,Flew to Phu Quoc on 2025-11-20 (Flight FL00057)
PA00003,Flew to Hong Kong on 2025-11-21 (Flight FL00015)
PA00004,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA00005,Flew to Paris on 2025-11-21 (Flight FL00084)
PA00006,Flew to Taipei on 2025-11-20 (Flight FL00219)
PA00007,Flew to Dubai on 2025-11-20 (Flight FL00053)
PA00008,Flew to Hong Kong on 2025-11-20 (Flight FL00081)
PA00009,Flew to Bangkok on 2025-11-21 (Flight FL00100)
PA00010,Flew to Tokyo on 2025-11-21 (Flight FL00060)
PA00011,Flew to Phu Quoc on 2025-11-22 (Flight FL00007)
PA00012,Flew to Hong Kong on 2025-11-20 (Flight FL00068)
PA00013,Flew to Bangkok on 2025-11-20 (Flight FL00162)
PA00014,Flew to Hong Kong on 2025-11-21 (Flight FL00142)
PA00015,Flew to Paris on 2025-11-21 (Flight FL00346)
PA00016,Flew to Hong Kong on 2025-11-19 (Flight FL00161)
PA00017,Flew to Sydney on 2025-11-20 (Flight FL00003)
PA00018,Flew to Phu Quoc on 2025-11-21 (Flight FL00214)
PA00019,Flew to Bangkok on 2025-11-21 (Flight FL00268)
PA00020,Flew to Da Nang on 2025-11-19 (Flight FL00025)
PA00021,Flew to Da Nang on 2025-11-21 (Flight FL00329)
PA00022,Flew to Da Nang on 2025-11-20 (Flight FL00140)
PA00023,Flew to Taipei on 2025-11-21 (Flight FL00005)
PA00024,Flew to London on 2025-11-20 (Flight FL00131)
PA00025,Flew to Singapore on 2025-11-21 (Flight FL00315)
PA00026,Flew to Da Nang on 2025-11-20 (Flight FL00281)
PA00027,Flew to Hong Kong on 2025-11-20 (Flight FL00217)
PA00028,Flew to Hong Kong on 2025-11-21 (Flight FL00142)
PA00029,Flew to Sydney on 2025-11-21 (Flight FL00055)
PA00030,Flew to Hong Kong on 2025-11-21 (Flight FL00305)
