SecurityLogID,RestrictedItemFound
SE00015,Liquid over 100ml
SE00015,Lighter
SE00015,Battery pack
SE00033,Battery pack
SE00033,Lighter
SE00033,Sharp object
SE00091,Lighter
SE00091,Sharp object
SE00093,Aerosol can
SE00093,Battery pack
SE00093,Sharp object
SE00095,Battery pack
SE00095,Aerosol can
SE00124,Aerosol can
SE00132,Liquid over 100ml
SE00132,Lighter
SE00141,Battery pack
SE00142,Sharp object
SE00142,Knife
SE00142,Battery pack
SE00143,Lighter
SE00147,Liquid over 100ml
SE00149,Battery pack
SE00149,Sharp object
SE00155,Lighter
SE00165,Sharp object
SE00192,Lighter
SE00192,Liquid over 100ml
SE00194,Sharp object
SE00194,Liquid over 100ml
SE00205,Knife
SE00205,Lighter
SE00205,Aerosol can
SE00207,Liquid over 100ml
SE00211,Sharp object
SE00260,Knife
SE00260,Aerosol can
SE00285,Battery pack
SE00285,Aerosol can
SE00285,Knife
SE00346,Battery pack
SE00346,Liquid over 100ml
SE00350,Battery pack
SE00350,Lighter
SE00353,Battery pack
SE00353,Liquid over 100ml
SE00353,Sharp object
SE00357,Knife
SE00357,Battery pack
SE00380,Aerosol can
SE00380,Battery pack
SE00389,Lighter
SE00389,Battery pack
SE00395,Battery pack
SE00395,Knife
SE00400,Aerosol can
SE00400,Liquid over 100ml
SE00405,Aerosol can
SE00406,Aerosol can
SE00406,Liquid over 100ml
SE00422,Sharp object
SE00422,Lighter
SE00422,Knife
SE00484,Aerosol can
SE00485,Liquid over 100ml
SE00511,Liquid over 100ml
SE00511,Battery pack
SE00511,Lighter
SE00514,Aerosol can
SE00515,Liquid over 100ml
SE00531,Liquid over 100ml
SE00531,Sharp object
SE00537,Liquid over 100ml
SE00537,Aerosol can
SE00544,Lighter
SE00555,Lighter
SE00555,Sharp object
SE00557,Liquid over 100ml
SE00565,Liquid over 100ml
SE00565,Sharp object
SE00565,Knife
SE00571,Aerosol can
SE00571,Lighter
SE00571,Battery pack
SE00595,Liquid over 100ml
SE00595,Aerosol can
SE00595,Knife
SE00610,Lighter
SE00610,Battery pack
SE00615,Sharp object
SE00622,Aerosol can
SE00622,Liquid over 100ml
SE00628,Knife
SE00633,Battery pack
SE00639,Sharp object
SE00643,Knife
SE00648,Knife
SE00649,Aerosol can
SE00649,Sharp object
SE00656,Liquid over 100ml
SE00656,Sharp object
SE00658,Liquid over 100ml
SE00658,Lighter
SE00658,Knife
SE00660,Knife
SE00660,Liquid over 100ml
SE00660,Sharp object
SE00663,Knife
SE00687,Knife
SE00687,Liquid over 100ml
SE00687,Lighter
SE00710,Lighter
SE00731,Liquid over 100ml
SE00731,Sharp object
SE00750,Sharp object
SE00760,Aerosol can
SE00760,Battery pack
SE00765,Liquid over 100ml
SE00765,Knife
SE00776,Battery pack
SE00788,Sharp object
SE00788,Battery pack
SE00788,Liquid over 100ml
SE00792,Battery pack
SE00792,Sharp object
SE00792,Aerosol can
SE00800,Battery pack
SE00812,Knife
SE00812,Sharp object
SE00822,Battery pack
SE00839,Battery pack
SE00844,Sharp object
SE00844,Liquid over 100ml
SE00857,Sharp object
SE00857,Lighter
SE00857,Aerosol can
SE00859,Sharp object
SE00862,Liquid over 100ml
SE00862,Aerosol can
SE00866,Liquid over 100ml
SE00880,Sharp object
SE00881,Sharp object
SE00881,Aerosol can
SE00881,Lighter
SE00889,Liquid over 100ml
SE00921,Knife
SE00921,Aerosol can
SE00930,Lighter
SE00930,Knife
SE00930,Aerosol can
SE00949,Lighter
SE00951,Liquid over 100ml
SE00951,Lighter
SE00960,Liquid over 100ml
SE00963,Knife
SE00963,Liquid over 100ml
SE00971,Lighter
SE00977,Sharp object
SE00991,Lighter
SE01014,Liquid over 100ml
SE01014,Battery pack
SE01022,Knife
SE01022,Lighter
SE01022,Battery pack
SE01025,Aerosol can
SE01032,Knife
SE01032,Aerosol can
SE01032,Liquid over 100ml
SE01060,Sharp object
SE01064,Knife
SE01068,Sharp object
SE01071,Lighter
SE01071,Knife
SE01082,Aerosol can
SE01101,Aerosol can
SE01101,Sharp object
SE01115,Sharp object
SE01136,Knife
SE01136,Battery pack
SE01168,Lighter
SE01168,Battery pack
SE01175,Battery pack
SE01175,Sharp object
SE01175,Aerosol can
SE01182,Battery pack
SE01182,Lighter
SE01182,Knife
SE01186,Battery pack
SE01186,Lighter
SE01197,Battery pack
SE01200,Knife
SE01200,Aerosol can
SE01200,Lighter
SE01211,Liquid over 100ml
SE01221,Liquid over 100ml
SE01221,Aerosol can
SE01221,Battery pack
SE01227,Battery pack
SE01227,Aerosol can
SE01248,Aerosol can
SE01248,Liquid over 100ml
SE01248,Knife
SE01255,Knife
SE01259,Aerosol can
SE01259,Sharp object
SE01259,Liquid over 100ml
SE01266,Battery pack
SE01274,Aerosol can
SE01274,Lighter
SE01276,Liquid over 100ml
SE01285,Sharp object
SE01285,Aerosol can
SE01285,Liquid over 100ml
SE01307,Aerosol can
SE01328,Battery pack
SE01328,Knife
SE01330,Liquid over 100ml
SE01341,Lighter
SE01341,Sharp object
SE01341,Liquid over 100ml
SE01347,Sharp object
SE01347,Liquid over 100ml
SE01360,Knife
SE01362,Sharp object
SE01362,Lighter
SE01371,Battery pack
SE01389,Battery pack
SE01389,Sharp object
SE01389,Aerosol can
SE01418,Sharp object
SE01418,Battery pack
SE01448,Liquid over 100ml
SE01448,Aerosol can
SE01448,Sharp object
SE01452,Aerosol can
SE01452,Liquid over 100ml
SE01462,Sharp object
SE01465,Liquid over 100ml
SE01465,Aerosol can
SE01465,Lighter
SE01491,Knife
SE01491,Liquid over 100ml
SE01492,Lighter
SE01495,Sharp object
SE01495,Battery pack
SE01506,Battery pack
SE01506,Liquid over 100ml
SE01520,Aerosol can
SE01520,Sharp object
SE01530,Battery pack
SE01530,Aerosol can
SE01532,Sharp object
SE01542,Battery pack
SE01570,Battery pack
SE01570,Lighter
SE01570,Knife
SE01579,Liquid over 100ml
SE01612,Lighter
SE01636,Knife
SE01636,Lighter
