LuggageID,Weight,Status,TicketID
LG00000,30.11,Checked-In,TI00000
LG00001,17.3,Unloaded,TI00000
LG00002,27.76,Loaded,TI00001
LG00003,26.72,Loaded,TI00001
LG00004,12.52,Unloaded,TI00002
LG00005,14.58,Loaded,TI00003
LG00006,28.77,Loaded,TI00004
LG00007,8.52,Checked-In,TI00004
LG00008,19.13,Unloaded,TI00005
LG00009,11.59,Checked-In,TI00005
LG00010,7.13,Loaded,TI00006
LG00011,22.42,Loaded,TI00006
LG00012,16.18,Unloaded,TI00007
LG00013,29.04,Loaded,TI00008
LG00014,30.8,Checked-In,TI00009
LG00015,26.57,Loaded,TI00009
LG00016,13.24,Unloaded,TI00010
LG00017,19.4,Unloaded,TI00012
LG00018,15.18,Unloaded,TI00012
LG00019,19.01,Checked-In,TI00013
LG00020,26.36,Checked-In,TI00014
LG00021,11.04,Loaded,TI00015
LG00022,10.54,Loaded,TI00016
LG00023,14.06,Loaded,TI00016
LG00024,19.3,Loaded,TI00017
LG00025,16.15,Unloaded,TI00019
LG00026,13.52,Loaded,TI00021
LG00027,26.35,Unloaded,TI00022
LG00028,18.23,Loaded,TI00023
LG00029,15.09,Checked-In,TI00024
LG00030,28.82,Loaded,TI00025
LG00031,23.89,Checked-In,TI00025
LG00032,28.33,Checked-In,TI00026
LG00033,12.6,Unloaded,TI00026
LG00034,12.23,Checked-In,TI00027
LG00035,15.98,Checked-In,TI00027
LG00036,14.14,Checked-In,TI00028
LG00037,17.28,Unloaded,TI00031
LG00038,21.53,Loaded,TI00032
LG00039,17.17,Checked-In,TI00035
LG00040,14.13,Loaded,TI00036
LG00041,27.51,Checked-In,TI00038
LG00042,16.87,Loaded,TI00038
LG00043,18.26,Unloaded,TI00040
LG00044,18.7,Loaded,TI00040
LG00045,12.26,Loaded,TI00042
LG00046,22.87,Checked-In,TI00042
LG00047,16.49,Checked-In,TI00044
LG00048,23.2,Loaded,TI00046
LG00049,29.26,Unloaded,TI00046
LG00050,26.35,Loaded,TI00047
LG00051,8.51,Unloaded,TI00047
LG00052,31.93,Loaded,TI00048
LG00053,15.69,Checked-In,TI00049
LG00054,27.95,Unloaded,TI00050
LG00055,29.63,Checked-In,TI00050
LG00056,9.98,Loaded,TI00051
LG00057,19.75,Loaded,TI00053
LG00058,30.86,Loaded,TI00053
LG00059,11.75,Loaded,TI00057
LG00060,22.85,Loaded,TI00059
LG00061,8.69,Loaded,TI00059
LG00062,7.89,Checked-In,TI00060
LG00063,30.5,Unloaded,TI00060
LG00064,19.61,Unloaded,TI00061
LG00065,21.61,Loaded,TI00064
LG00066,7.34,Unloaded,TI00068
LG00067,7.22,Loaded,TI00069
LG00068,27.37,Loaded,TI00071
LG00069,27.17,Loaded,TI00071
LG00070,27.32,Unloaded,TI00072
LG00071,31.68,Loaded,TI00072
LG00072,27.27,Checked-In,TI00074
LG00073,30.04,Loaded,TI00074
LG00074,26.79,Loaded,TI00075
LG00075,11.7,Unloaded,TI00075
LG00076,28.73,Loaded,TI00076
LG00077,8.69,Unloaded,TI00078
LG00078,24.88,Checked-In,TI00081
LG00079,24.02,Loaded,TI00081
LG00080,18.24,Checked-In,TI00082
LG00081,19.47,Checked-In,TI00082
LG00082,31.25,Loaded,TI00083
LG00083,24.16,Unloaded,TI00084
LG00084,31.57,Loaded,TI00085
LG00085,9.16,Unloaded,TI00086
LG00086,14.44,Loaded,TI00086
LG00087,24.32,Checked-In,TI00087
LG00088,27.53,Checked-In,TI00087
LG00089,11.53,Unloaded,TI00088
LG00090,18.44,Checked-In,TI00088
LG00091,27.47,Unloaded,TI00089
LG00092,12.78,Unloaded,TI00090
LG00093,20.29,Loaded,TI00090
LG00094,7.55,Checked-In,TI00091
LG00095,14.43,Loaded,TI00092
LG00096,13.36,Unloaded,TI00092
LG00097,8.3,Unloaded,TI00093
LG00098,19.41,Unloaded,TI00094
LG00099,22.58,Unloaded,TI00097
LG00100,8.1,Checked-In,TI00098
LG00101,18.93,Loaded,TI00099
LG00102,20.42,Unloaded,TI00099
LG00103,12.12,Checked-In,TI00100
LG00104,28.4,Checked-In,TI00100
LG00105,8.74,Loaded,TI00101
LG00106,18.4,Unloaded,TI00102
LG00107,31.29,Loaded,TI00104
LG00108,18.0,Loaded,TI00108
LG00109,31.36,Loaded,TI00108
LG00110,7.96,Loaded,TI00109
LG00111,30.58,Checked-In,TI00109
LG00112,26.22,Unloaded,TI00111
LG00113,11.86,Unloaded,TI00112
LG00114,15.58,Loaded,TI00113
LG00115,29.15,Checked-In,TI00115
LG00116,15.57,Loaded,TI00118
LG00117,29.85,Loaded,TI00118
LG00118,24.46,Checked-In,TI00120
LG00119,13.2,Unloaded,TI00120
LG00120,30.66,Loaded,TI00122
LG00121,9.58,Loaded,TI00122
LG00122,25.04,Unloaded,TI00123
LG00123,8.92,Loaded,TI00125
LG00124,14.87,Loaded,TI00125
LG00125,23.86,Unloaded,TI00126
LG00126,27.46,Unloaded,TI00126
LG00127,21.95,Unloaded,TI00129
LG00128,15.58,Checked-In,TI00129
LG00129,17.49,Unloaded,TI00130
LG00130,24.07,Unloaded,TI00131
LG00131,12.99,Checked-In,TI00131
LG00132,25.35,Checked-In,TI00132
LG00133,23.92,Checked-In,TI00132
LG00134,17.44,Loaded,TI00133
LG00135,26.67,Loaded,TI00133
LG00136,10.27,Loaded,TI00134
LG00137,12.47,Loaded,TI00134
LG00138,31.6,Checked-In,TI00136
LG00139,28.13,Unloaded,TI00137
LG00140,29.48,Unloaded,TI00137
LG00141,27.24,Loaded,TI00138
LG00142,19.07,Checked-In,TI00138
LG00143,23.75,Loaded,TI00139
LG00144,15.55,Loaded,TI00139
LG00145,10.87,Checked-In,TI00140
LG00146,10.52,Loaded,TI00140
LG00147,25.84,Checked-In,TI00141
LG00148,14.12,Unloaded,TI00141
LG00149,19.82,Unloaded,TI00142
LG00150,9.4,Loaded,TI00142
LG00151,17.18,Checked-In,TI00145
LG00152,23.27,Unloaded,TI00145
LG00153,22.12,Checked-In,TI00146
LG00154,26.53,Loaded,TI00147
LG00155,29.52,Loaded,TI00148
LG00156,16.91,Loaded,TI00148
LG00157,13.59,Loaded,TI00149
LG00158,20.71,Checked-In,TI00150
LG00159,21.71,Unloaded,TI00151
LG00160,7.38,Unloaded,TI00151
LG00161,16.91,Loaded,TI00154
LG00162,9.37,Checked-In,TI00154
LG00163,31.4,Loaded,TI00155
LG00164,17.17,Loaded,TI00155
LG00165,30.3,Checked-In,TI00156
LG00166,18.12,Checked-In,TI00156
LG00167,15.36,Loaded,TI00157
LG00168,9.05,Unloaded,TI00157
LG00169,9.53,Unloaded,TI00159
LG00170,8.23,Loaded,TI00159
LG00171,8.03,Loaded,TI00160
LG00172,25.65,Unloaded,TI00162
LG00173,21.36,Checked-In,TI00164
LG00174,12.58,Unloaded,TI00165
LG00175,14.0,Checked-In,TI00166
LG00176,7.47,Loaded,TI00166
LG00177,18.87,Checked-In,TI00167
LG00178,10.08,Unloaded,TI00167
LG00179,29.09,Loaded,TI00168
LG00180,16.34,Loaded,TI00169
LG00181,18.1,Loaded,TI00170
LG00182,28.57,Unloaded,TI00171
LG00183,9.44,Loaded,TI00171
LG00184,26.59,Loaded,TI00174
LG00185,13.89,Loaded,TI00174
LG00186,18.61,Unloaded,TI00175
LG00187,31.45,Checked-In,TI00177
LG00188,21.79,Checked-In,TI00178
LG00189,22.97,Loaded,TI00178
LG00190,12.66,Unloaded,TI00179
LG00191,27.16,Checked-In,TI00180
LG00192,16.33,Loaded,TI00182
