SecurityLogID,Timestamp,ScreeningResult,TicketID
SE00000,2025-11-19 17:05:48.670617,Clear,TI00000
SE00001,2025-11-19 19:05:48.670617,Clear,TI00001
SE00002,2025-11-19 17:05:48.670617,Clear,TI00002
SE00003,2025-11-19 17:05:48.670617,Clear,TI00003
SE00004,2025-11-19 18:05:48.670617,Clear,TI00004
SE00005,2025-11-19 17:05:48.670617,Clear,TI00005
SE00006,2025-11-19 18:05:48.670617,Clear,TI00006
SE00007,2025-11-19 18:05:48.670617,Clear,TI00007
SE00008,2025-11-19 17:05:48.670617,Clear,TI00008
SE00009,2025-11-19 19:05:48.670617,Clear,TI00009
SE00010,2025-11-19 19:05:48.670617,Clear,TI00010
SE00011,2025-11-19 18:05:48.670617,Clear,TI00011
SE00012,2025-11-19 19:05:48.670617,Clear,TI00012
SE00013,2025-11-19 17:05:48.670617,Clear,TI00013
SE00014,2025-11-19 17:05:48.670617,Clear,TI00014
SE00015,2025-11-19 19:05:48.670617,Flagged,TI00015
SE00016,2025-11-19 18:05:48.670617,Clear,TI00016
SE00017,2025-11-19 19:05:48.670617,Clear,TI00017
SE00018,2025-11-19 18:05:48.670617,Clear,TI00018
SE00019,2025-11-19 18:05:48.670617,Clear,TI00019
SE00020,2025-11-19 19:05:48.670617,Clear,TI00020
SE00021,2025-11-19 18:05:48.670617,Clear,TI00021
SE00022,2025-11-19 17:05:48.670617,Clear,TI00022
SE00023,2025-11-19 17:05:48.670617,Clear,TI00023
SE00024,2025-11-19 18:05:48.670617,Clear,TI00024
SE00025,2025-11-19 17:05:48.670617,Clear,TI00025
SE00026,2025-11-19 17:05:48.670617,Clear,TI00026
SE00027,2025-11-19 17:05:48.670617,Clear,TI00027
SE00028,2025-11-19 18:05:48.670617,Clear,TI00028
SE00029,2025-11-19 17:05:48.670617,Clear,TI00029
SE00030,2025-11-19 17:05:48.670617,Clear,TI00030
SE00031,2025-11-19 19:05:48.670617,Clear,TI00031
SE00032,2025-11-19 18:05:48.670617,Clear,TI00032
SE00033,2025-11-19 19:05:48.670617,Flagged,TI00033
SE00034,2025-11-19 19:05:48.670617,Clear,TI00034
SE00035,2025-11-19 18:05:48.670617,Clear,TI00035
SE00036,2025-11-19 17:05:48.670617,Clear,TI00036
SE00037,2025-11-19 19:05:48.670617,Clear,TI00037
SE00038,2025-11-19 19:05:48.670617,Clear,TI00038
SE00039,2025-11-19 19:05:48.670617,Clear,TI00039
SE00040,2025-11-19 17:05:48.670617,Clear,TI00040
SE00041,2025-11-19 19:05:48.670617,Clear,TI00041
SE00042,2025-11-19 18:05:48.670617,Clear,TI00042
SE00043,2025-11-19 17:05:48.670617,Clear,TI00043
SE00044,2025-11-19 17:05:48.670617,Clear,TI00044
SE00045,2025-11-19 17:05:48.670617,Clear,TI00045
SE00046,2025-11-19 18:05:48.670617,Clear,TI00046
SE00047,2025-11-19 17:05:48.670617,Clear,TI00047
SE00048,2025-11-19 18:05:48.670617,Clear,TI00048
SE00049,2025-11-19 19:05:48.670617,Clear,TI00049
SE00050,2025-11-19 19:05:48.670617,Clear,TI00050
SE00051,2025-11-19 19:05:48.670617,Clear,TI00051
SE00052,2025-11-19 18:05:48.670617,Clear,TI00052
SE00053,2025-11-19 17:05:48.670617,Clear,TI00053
SE00054,2025-11-19 18:05:48.670617,Clear,TI00054
SE00055,2025-11-19 19:05:48.670617,Clear,TI00055
SE00056,2025-11-19 18:05:48.670617,Clear,TI00056
SE00057,2025-11-19 17:05:48.670617,Clear,TI00057
SE00058,2025-11-19 19:05:48.670617,Clear,TI00058
SE00059,2025-11-19 19:05:48.670617,Clear,TI00059
SE00060,2025-11-19 17:05:48.670617,Clear,TI00060
SE00061,2025-11-19 19:05:48.670617,Clear,TI00061
SE00062,2025-11-19 19:05:48.670617,Clear,TI00062
SE00063,2025-11-19 19:05:48.670617,Clear,TI00063
SE00064,2025-11-19 17:05:48.670617,Clear,TI00064
SE00065,2025-11-19 18:05:48.670617,Clear,TI00065
SE00066,2025-11-19 18:05:48.670617,Clear,TI00066
SE00067,2025-11-19 17:05:48.670617,Clear,TI00067
SE00068,2025-11-19 18:05:48.670617,Clear,TI00068
SE00069,2025-11-19 18:05:48.670617,Clear,TI00069
