TicketID,Seat,Class,PurchaseDate,PassengerID,FlightID
TI00000,1A,Business,2025-10-20 06:50:48.670617,PA12291,FL00001
TI00001,1B,First,2025-09-30 23:50:48.670617,PA31475,FL00001
TI00002,1C,Economy,2025-10-07 12:50:48.670617,PA05510,FL00001
TI00003,1D,Economy,2025-09-20 03:50:48.670617,PA38765,FL00001
TI00004,1E,Economy,2025-09-27 16:50:48.670617,PA24522,FL00001
TI00005,1F,Economy,2025-11-13 00:50:48.670617,PA24875,FL00001
TI00006,2A,Business,2025-10-18 03:50:48.670617,PA16051,FL00001
TI00007,2B,Economy,2025-11-13 02:50:48.670617,PA29106,FL00001
TI00008,2C,Economy,2025-10-02 08:50:48.670617,PA03283,FL00001
TI00009,2D,Economy,2025-10-10 16:50:48.670617,PA28060,FL00001
TI00010,2E,Economy,2025-09-30 15:50:48.670617,PA48811,FL00001
TI00011,2F,Economy,2025-10-17 00:50:48.670617,PA34828,FL00001
TI00012,3A,Business,2025-09-20 08:50:48.670617,PA00883,FL00001
TI00013,3B,Economy,2025-10-27 05:50:48.670617,PA15593,FL00001
TI00014,3C,Economy,2025-10-15 19:50:48.670617,PA24105,FL00001
TI00015,3D,Economy,2025-10-16 08:50:48.670617,PA29259,FL00001
TI00016,3E,Economy,2025-09-24 23:50:48.670617,PA15129,FL00001
TI00017,3F,Economy,2025-10-07 07:50:48.670617,PA16944,FL00001
TI00018,4A,Economy,2025-10-27 22:50:48.670617,PA23749,FL00001
TI00019,4B,Economy,2025-09-25 05:50:48.670617,PA22634,FL00001
TI00020,4C,Economy,2025-11-12 15:50:48.670617,PA22495,FL00001
TI00021,4D,Economy,2025-10-03 23:50:48.670617,PA33425,FL00001
TI00022,4E,Economy,2025-11-07 23:50:48.670617,PA04020,FL00001
TI00023,4F,Economy,2025-10-27 17:50:48.670617,PA17116,FL00001
TI00024,5A,Economy,2025-10-06 19:50:48.670617,PA04019,FL00001
TI00025,5B,Economy,2025-10-25 00:50:48.670617,PA14482,FL00001
TI00026,5C,Economy,2025-11-05 19:50:48.670617,PA00952,FL00001
TI00027,5D,Economy,2025-09-23 15:50:48.670617,PA18820,FL00001
TI00028,5E,Economy,2025-10-13 17:50:48.670617,PA26200,FL00001
TI00029,5F,Business,2025-10-02 21:50:48.670617,PA21629,FL00001
TI00030,6A,Economy,2025-11-05 21:50:48.670617,PA14875,FL00001
TI00031,6B,Economy,2025-10-12 06:50:48.670617,PA08586,FL00001
TI00032,6C,Business,2025-11-13 19:50:48.670617,PA18212,FL00001
TI00033,6D,Economy,2025-09-20 23:50:48.670617,PA37991,FL00001
TI00034,6E,Economy,2025-10-02 10:50:48.670617,PA43364,FL00001
TI00035,6F,Business,2025-10-06 16:50:48.670617,PA27282,FL00001
TI00036,7A,Business,2025-10-01 15:50:48.670617,PA02230,FL00001
TI00037,7B,Economy,2025-09-26 04:50:48.670617,PA27756,FL00001
TI00038,7C,Economy,2025-11-05 15:50:48.670617,PA36263,FL00001
TI00039,7D,Economy,2025-10-31 20:50:48.670617,PA25094,FL00001
TI00040,7E,Economy,2025-11-10 23:50:48.670617,PA29976,FL00001
TI00041,7F,Business,2025-11-13 03:50:48.670617,PA10715,FL00001
TI00042,8A,Economy,2025-10-03 01:50:48.670617,PA16667,FL00001
TI00043,8B,Economy,2025-11-01 06:50:48.670617,PA02721,FL00001
TI00044,8C,Economy,2025-09-29 01:50:48.670617,PA15898,FL00001
TI00045,8D,Economy,2025-10-17 02:50:48.670617,PA34209,FL00001
TI00046,8E,Economy,2025-10-27 22:50:48.670617,PA19985,FL00001
TI00047,8F,Economy,2025-10-12 14:50:48.670617,PA27524,FL00001
TI00048,9A,Economy,2025-10-25 13:50:48.670617,PA37760,FL00001
TI00049,9B,Economy,2025-10-31 06:50:48.670617,PA37810,FL00001
TI00050,9C,Business,2025-10-26 09:50:48.670617,PA38214,FL00001
TI00051,9D,Economy,2025-09-22 02:50:48.670617,PA11805,FL00001
